stage,epoch,train_loss,val_loss,val_accuracy,val_macro_f1,epoch_seconds
frozen_head,1,1.7466609640324369,1.4633677442475121,0.42574257425742573,0.3889146874029293,13.930126905441284
frozen_head,2,1.2823845792323985,1.1517094538943602,0.693069306930693,0.6745931311148703,9.867552042007446
frozen_head,3,1.0610149545872465,0.9881514570500591,0.7326732673267327,0.7380941980079911,9.932988166809082
frozen_head,4,0.8881841403372744,0.8707952759053448,0.7920792079207921,0.7867952601094639,10.777212858200073
frozen_head,5,0.8036740074766443,0.7879042885091045,0.8217821782178217,0.8260880099589777,9.85247015953064
finetune_backbone,1,0.60120000712415,0.4392838879386977,0.8811881188118812,0.882691995033193,16.448604822158813
finetune_backbone,2,0.23582780082175073,0.37137513851175213,0.8613861386138614,0.8645241025884153,14.273707866668701
finetune_backbone,3,0.115739232935804,0.35629735577224503,0.900990099009901,0.9008405786423027,14.27888798713684
finetune_backbone,4,0.07536781603034506,0.3608562984679005,0.8811881188118812,0.884632282984958,15.10697865486145
finetune_backbone,5,0.04119654134549993,0.35208862990435985,0.8811881188118812,0.8843471738288811,12.921658992767334
