query_filename,query_path,query_expected_class,query_resnet_prediction,query_resnet_confidence,neighbor_rank,neighbor_path,neighbor_filename,neighbor_simplified_class,neighbor_fashion_mnist_class,neighbor_split,cosine_similarity
000024400034.JPEG,data/real_world_images/raw/000024400034.JPEG,top,top,0.9140336513519288,1,data/retail_images/simplified6_raw_full/top/shirt_princess_polly_shirts_blouses_c3907a7840ec.jpg,shirt_princess_polly_shirts_blouses_c3907a7840ec.jpg,top,Shirt,train,0.7439550161361694
000024400034.JPEG,data/real_world_images/raw/000024400034.JPEG,top,top,0.9140336513519288,2,data/retail_images/simplified6_raw_full/top/t_shirt_top_brandy_melville_tops_cf8c1adc7b10.jpg,t_shirt_top_brandy_melville_tops_cf8c1adc7b10.jpg,top,T-shirt/top,train,0.7324769496917725
000024400034.JPEG,data/real_world_images/raw/000024400034.JPEG,top,top,0.9140336513519288,3,data/retail_images/simplified6_raw_full/top/shirt_free_people_blouses_0927292eda82.jpg,shirt_free_people_blouses_0927292eda82.jpg,top,Shirt,train,0.7302781343460083
000024400034.JPEG,data/real_world_images/raw/000024400034.JPEG,top,top,0.9140336513519288,4,data/retail_images/simplified6_raw_full/top/shirt_free_people_blouses_a4032379c6c4.webp,shirt_free_people_blouses_a4032379c6c4.webp,top,Shirt,train,0.7284411787986755
000024400034.JPEG,data/real_world_images/raw/000024400034.JPEG,top,top,0.9140336513519288,5,data/retail_images/simplified6_raw_full/dress/dress_anthropologie_dresses_9e283d1db6f3.jpg,dress_anthropologie_dresses_9e283d1db6f3.jpg,dress,Dress,train,0.7217136025428772
ACS_0641.JPG,data/real_world_images/raw/ACS_0641.JPG,outerwear,outerwear,0.3256614208221435,1,data/retail_images/simplified6_raw_full/top/shirt_princess_polly_button_ups_d656a55c5e98.jpg,shirt_princess_polly_button_ups_d656a55c5e98.jpg,top,Shirt,train,0.7306286692619324
ACS_0641.JPG,data/real_world_images/raw/ACS_0641.JPG,outerwear,outerwear,0.3256614208221435,2,data/retail_images/simplified6_raw_full/top/pullover_princess_polly_sweaters_0cde4374ddf8.jpg,pullover_princess_polly_sweaters_0cde4374ddf8.jpg,top,Pullover,test,0.7230563759803772
ACS_0641.JPG,data/real_world_images/raw/ACS_0641.JPG,outerwear,outerwear,0.3256614208221435,3,data/retail_images/simplified6_raw_full/bag/bag_princess_polly_bags_33fcaf763677.jpg,bag_princess_polly_bags_33fcaf763677.jpg,bag,Bag,val,0.707268476486206
ACS_0641.JPG,data/real_world_images/raw/ACS_0641.JPG,outerwear,outerwear,0.3256614208221435,4,data/retail_images/simplified6_raw_full/top/shirt_anthropologie_blouses_86b0658c38eb.jpg,shirt_anthropologie_blouses_86b0658c38eb.jpg,top,Shirt,train,0.7058421969413757
ACS_0641.JPG,data/real_world_images/raw/ACS_0641.JPG,outerwear,outerwear,0.3256614208221435,5,data/retail_images/simplified6_raw_full/top/shirt_anthropologie_blouses_50133ce31eaf.jpg,shirt_anthropologie_blouses_50133ce31eaf.jpg,top,Shirt,val,0.7021231055259705
IMG_0746.jpg,data/real_world_images/raw/IMG_0746.jpg,top,outerwear,0.5987973213195801,1,data/retail_images/simplified6_raw_full/outerwear/coat_reformation_outerwear_69553f841cca.jpg,coat_reformation_outerwear_69553f841cca.jpg,outerwear,Coat,test,0.7829269766807556
IMG_0746.jpg,data/real_world_images/raw/IMG_0746.jpg,top,outerwear,0.5987973213195801,2,data/retail_images/simplified6_raw_full/outerwear/coat_princess_polly_jackets_2189cc5d8ba8.jpg,coat_princess_polly_jackets_2189cc5d8ba8.jpg,outerwear,Coat,train,0.7788428068161011
IMG_0746.jpg,data/real_world_images/raw/IMG_0746.jpg,top,outerwear,0.5987973213195801,3,data/retail_images/simplified6_raw_full/outerwear/coat_princess_polly_jackets_5ee340a62e19.jpg,coat_princess_polly_jackets_5ee340a62e19.jpg,outerwear,Coat,train,0.7781031727790833
IMG_0746.jpg,data/real_world_images/raw/IMG_0746.jpg,top,outerwear,0.5987973213195801,4,data/retail_images/simplified6_raw_full/top/pullover_princess_polly_sweaters_0c9792ba1cbb.jpg,pullover_princess_polly_sweaters_0c9792ba1cbb.jpg,top,Pullover,val,0.7725509405136108
IMG_0746.jpg,data/real_world_images/raw/IMG_0746.jpg,top,outerwear,0.5987973213195801,5,data/retail_images/simplified6_raw_full/outerwear/coat_reformation_outerwear_f6f7e51a6a92.jpg,coat_reformation_outerwear_f6f7e51a6a92.jpg,outerwear,Coat,train,0.7721567749977112
IMG_2644.jpg,data/real_world_images/raw/IMG_2644.jpg,top,top,0.8162105679512024,1,data/retail_images/simplified6_raw_full/dress/dress_anthropologie_dresses_9e283d1db6f3.jpg,dress_anthropologie_dresses_9e283d1db6f3.jpg,dress,Dress,train,0.7626194953918457
IMG_2644.jpg,data/real_world_images/raw/IMG_2644.jpg,top,top,0.8162105679512024,2,data/retail_images/simplified6_raw_full/top/shirt_anthropologie_blouses_50133ce31eaf.jpg,shirt_anthropologie_blouses_50133ce31eaf.jpg,top,Shirt,val,0.756403923034668
IMG_2644.jpg,data/real_world_images/raw/IMG_2644.jpg,top,top,0.8162105679512024,3,data/retail_images/simplified6_raw_full/top/shirt_princess_polly_button_ups_d656a55c5e98.jpg,shirt_princess_polly_button_ups_d656a55c5e98.jpg,top,Shirt,train,0.7475332617759705
IMG_2644.jpg,data/real_world_images/raw/IMG_2644.jpg,top,top,0.8162105679512024,4,data/retail_images/simplified6_raw_full/outerwear/coat_reformation_jackets_and_coats_13afbe39d8ff.jpg,coat_reformation_jackets_and_coats_13afbe39d8ff.jpg,outerwear,Coat,val,0.7346160411834717
IMG_2644.jpg,data/real_world_images/raw/IMG_2644.jpg,top,top,0.8162105679512024,5,data/retail_images/simplified6_raw_full/top/pullover_reformation_sweaters_c296d24b0835.jpg,pullover_reformation_sweaters_c296d24b0835.jpg,top,Pullover,train,0.7243094444274902
IMG_2645.jpg,data/real_world_images/raw/IMG_2645.jpg,top,top,0.9530348777770996,1,data/retail_images/simplified6_raw_full/top/shirt_princess_polly_button_ups_d656a55c5e98.jpg,shirt_princess_polly_button_ups_d656a55c5e98.jpg,top,Shirt,train,0.7637081146240234
IMG_2645.jpg,data/real_world_images/raw/IMG_2645.jpg,top,top,0.9530348777770996,2,data/retail_images/simplified6_raw_full/top/shirt_anthropologie_blouses_4517b3ccb374.jpg,shirt_anthropologie_blouses_4517b3ccb374.jpg,top,Shirt,train,0.7593502998352051
IMG_2645.jpg,data/real_world_images/raw/IMG_2645.jpg,top,top,0.9530348777770996,3,data/retail_images/simplified6_raw_full/top/t_shirt_top_brandy_melville_tops_page_4_31f46c6d9e2d.jpg,t_shirt_top_brandy_melville_tops_page_4_31f46c6d9e2d.jpg,top,T-shirt/top,val,0.7465972900390625
IMG_2645.jpg,data/real_world_images/raw/IMG_2645.jpg,top,top,0.9530348777770996,4,data/retail_images/simplified6_raw_full/top/pullover_princess_polly_sweaters_645d5f330caa.jpg,pullover_princess_polly_sweaters_645d5f330caa.jpg,top,Pullover,train,0.7461112141609192
IMG_2645.jpg,data/real_world_images/raw/IMG_2645.jpg,top,top,0.9530348777770996,5,data/retail_images/simplified6_raw_full/top/pullover_princess_polly_sweaters_0c9792ba1cbb.jpg,pullover_princess_polly_sweaters_0c9792ba1cbb.jpg,top,Pullover,val,0.7450987100601196
IMG_2646.PNG,data/real_world_images/raw/IMG_2646.PNG,trouser,outerwear,0.3965788185596466,1,data/retail_images/simplified6_raw_full/outerwear/coat_princess_polly_jackets_3d1fa754d1b7.jpg,coat_princess_polly_jackets_3d1fa754d1b7.jpg,outerwear,Coat,train,0.7046047449111938
