downloaded_at,source_name,source_url,fashion_mnist_class,image_url,filename,width,height,sha256,status,message
2026-04-22T13:48:14.732742+00:00,Zara tops,https://www.zara.com/us/en/woman-tops-l1322.html?v1=2419940&regionGroupId=13,T-shirt/top,,,,,,skipped,robots_unavailable
2026-04-22T13:48:14.733731+00:00,Urban Outfitters tops,https://www.urbanoutfitters.com/womens-tops,T-shirt/top,,,,,,skipped,robots_unavailable
2026-04-22T13:48:14.734807+00:00,Meshki tops,https://www.meshki.com.au/collections/tops,T-shirt/top,,,,,,skipped,robots_unavailable
2026-04-22T13:48:14.735742+00:00,Hollister tops,https://www.hollisterco.com/shop/us/womens-tops,T-shirt/top,,,,,,skipped,robots_unavailable
2026-04-22T13:48:14.736481+00:00,Brandy Melville tops page 4,https://us.brandymelville.com/collections/clothing-tops?page=4,T-shirt/top,,,,,,skipped,robots_unavailable
2026-04-22T13:48:14.737345+00:00,Aritzia dresses,https://www.aritzia.com/us/en/clothing/dresses?lastViewed=72,Dress,,,,,,skipped,robots_unavailable
2026-04-22T13:49:07.073730+00:00,Zara tops,https://www.zara.com/us/en/woman-tops-l1322.html?v1=2419940&regionGroupId=13,T-shirt/top,"https://www.zara.com/us/en/width=device-width, initial-scale=1, shrink-to-fit=no",,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T13:49:08.588370+00:00,Zara tops,https://www.zara.com/us/en/woman-tops-l1322.html?v1=2419940&regionGroupId=13,T-shirt/top,https://www.zara.com/us/en/5; URL='/us/en/woman-tops-l1322.html?v1=2419940&regionGroupId=13&bm-verify=AAQAAAAN______0oKRp3CB7NcbPX-BwZNWT3wNwgBuGsfWir28jARF6Bz_4Bj8IU8YN6GmYZXKXjE47VDBtwzkA8YU6goy4LrnMjgmVUN3nBycaogmYeto9b3y8kSzV4r0ay5yCnroE5kz9rXKWNv5ZHuXpCFO6RxrWpbOKp8gFcfB-OmyyW5QoPxoe0oramheCmf65z93xa1pwSfCbev-q0jjjuplLUQm6tWJu45s8626uRwvJbcLWEpXeuhMOLEN9DHgeeEtdpPI9_4SQ1cUS06PpaC7mcQezKzM-7RutJUFY-1xTg-uStVBa5N1S8eNeJDMKtgrtb',,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T13:49:15.598991+00:00,Urban Outfitters tops,https://www.urbanoutfitters.com/womens-tops,T-shirt/top,https://www.urbanoutfitters.com/notranslate,,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T13:49:17.318997+00:00,Urban Outfitters tops,https://www.urbanoutfitters.com/womens-tops,T-shirt/top,"https://www.urbanoutfitters.com/width=device-width, initial-scale=1",,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T13:49:19.003742+00:00,Urban Outfitters tops,https://www.urbanoutfitters.com/womens-tops,T-shirt/top,"https://www.urbanoutfitters.com/Women's Tops, Blouses, T-shirts & More",,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T13:49:21.755476+00:00,Urban Outfitters tops,https://www.urbanoutfitters.com/womens-tops,T-shirt/top,https://www.urbanoutfitters.com/604800,,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T13:49:23.434787+00:00,Urban Outfitters tops,https://www.urbanoutfitters.com/womens-tops,T-shirt/top,"https://www.urbanoutfitters.com/app-id=358821736,affiliate-data=ct=utm_medium=APP&utm_source=SMARTBANNER&utm_campaign=womens-tops&utm_content=4222026&pt=105840812,app-arguments=urbanout:/category/womens-tops?utm_medium=APP&utm_source=SMARTBANNER&utm_campaign=womens-tops&utm_content=4222026&pt=105840812",,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T13:49:25.812125+00:00,Urban Outfitters tops,https://www.urbanoutfitters.com/womens-tops,T-shirt/top,https://www.urbanoutfitters.com/en-US,,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T13:49:27.482892+00:00,Urban Outfitters tops,https://www.urbanoutfitters.com/womens-tops,T-shirt/top,https://www.urbanoutfitters.com/Urban Outfitters,,,,,skipped,image_fetch_failed:HTTPError
2026-04-22T13:49:30.272275+00:00,Urban Outfitters tops,https://www.urbanoutfitters.com/womens-tops,T-shirt/top,https://www.urbanoutfitters.com/womens-tops,,,,,skipped,non_image_content_type:text/html; charset=utf-8
2026-04-22T13:49:34.157521+00:00,Urban Outfitters tops,https://www.urbanoutfitters.com/womens-tops,T-shirt/top,https://www.urbanoutfitters.com/618264918228548,,,,,skipped,image_fetch_failed:HTTPError
