source_path,cropped_path,fashion_mnist_class,status,message,crop_method,left,top,right,bottom,source_sha256,crop_sha256
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_page_4_00351b9b74fe.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/cropped/t_shirt_top/brandy_melville_tops_page_4_00351b9b74fe_crop.jpg,T-shirt/top,cropped,ok,foreground,0,0,533,800,243eaf9ec416171247971c93ec69a443f524aa7f711602d8b08a42551645afb0,f668bcea8c8f7322547006e796a283914dd9203879a840b99e7df9abb47bb00e
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_page_4_044c789ddf04.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/cropped/t_shirt_top/brandy_melville_tops_page_4_044c789ddf04_crop.jpg,T-shirt/top,cropped,ok,foreground,0,0,165,248,039638a16fa47484475022572cc1b167cb4cbb2af7aa96c47426a8516b823132,82c65fb0feede867ff05b981121b21fd05ae0f3d07f67209087901f8acf79038
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_page_4_091459355b2d.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/cropped/t_shirt_top/brandy_melville_tops_page_4_091459355b2d_crop.jpg,T-shirt/top,cropped,ok,foreground,0,0,360,540,80127a06424ba7b9b6ed743502c627880abe99e498b4d032cdffc5306f28d67b,3bb6d1232a5a09a948584569928367da679c3b6fb323089cca27e702110306c7
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_page_4_0b21816dd8c4.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/cropped/t_shirt_top/brandy_melville_tops_page_4_0b21816dd8c4_crop.jpg,T-shirt/top,cropped,ok,foreground,0,0,165,248,7828cd58a51a484175d81d950aebc69fb3c5f3d6299ef81150ac2cec2cf117cb,b562638298890ea998552a1652802862d6ef64e2bc6bce2f9a9492440e644f3a
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_page_4_0b27ff4344e8.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/cropped/t_shirt_top/brandy_melville_tops_page_4_0b27ff4344e8_crop.jpg,T-shirt/top,cropped,ok,foreground,0,0,533,800,db694ab668ce307c19861baf6319952759bf40d568b5997750ea2e7f6b636f71,e2c7134bc60fab7ec3e01ff3ab4d7192f0ec0d143585a17dd39b763cc685cbc9
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_page_4_0e459158782e.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/cropped/t_shirt_top/brandy_melville_tops_page_4_0e459158782e_crop.jpg,T-shirt/top,cropped,ok,foreground,0,0,360,540,0c1e4a1bb76b046a25a773d3019ccaec6dd1c13a734bd516d1953ec9a764fa56,1d822b4dc9c1fb61ea644a2d4075a1d86a7af79e57226cd6785a1fb21603a3a9
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_page_4_1012804e5921.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/cropped/t_shirt_top/brandy_melville_tops_page_4_1012804e5921_crop.jpg,T-shirt/top,cropped,ok,foreground,0,0,360,540,69d482beff6e0670a5b17673d20be6542feb806478c2d3d0a5e4c9a031c9621f,2165ee1c0142a7e60a3e45a3751f94748b2ad7b5354bd83efc7cba04aed8b179
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_page_4_1035e9c74de8.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/cropped/t_shirt_top/brandy_melville_tops_page_4_1035e9c74de8_crop.jpg,T-shirt/top,cropped,ok,foreground,0,0,165,248,9a5985ae5ee82a43d9366bf8318908bf5338ef1accba02a62541ad152f468fc2,ddfe6190bfe7c9801d8fdc4fb7a16e2e650da0ed367a527a8db4899d7dacc618
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_page_4_11ac445273be.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/cropped/t_shirt_top/brandy_melville_tops_page_4_11ac445273be_crop.jpg,T-shirt/top,cropped,ok,foreground,0,0,165,248,31b92938e611350d9f61309951ecf402626e53751d66a78748618a6b34879758,f89daf3a019baa77e9b36609d0ca46a9bbee8c05a9eb48340b4b4cae86bf496a
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_page_4_137ee632ca9b.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/cropped/t_shirt_top/brandy_melville_tops_page_4_137ee632ca9b_crop.jpg,T-shirt/top,cropped,ok,foreground,0,0,360,540,ec063e69b5b2bb8d254b4b7bfc2aa58ce8950eaad7761d6b770ae2421d91cbee,5149fa779ed574dae0a133bfb2c51682eaf604118911edc734992c8e17059212
