path,fashion_mnist_class,width,height,mode,sha256,is_valid,validation_message,is_duplicate,usable
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/cropped/t_shirt_top/brandy_melville_tops_page_4_00351b9b74fe_crop.jpg,T-shirt/top,533,800,RGB,f668bcea8c8f7322547006e796a283914dd9203879a840b99e7df9abb47bb00e,True,ok,False,True
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/cropped/t_shirt_top/brandy_melville_tops_page_4_044c789ddf04_crop.jpg,T-shirt/top,165,248,RGB,82c65fb0feede867ff05b981121b21fd05ae0f3d07f67209087901f8acf79038,True,ok,False,True
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/cropped/t_shirt_top/brandy_melville_tops_page_4_091459355b2d_crop.jpg,T-shirt/top,360,540,RGB,3bb6d1232a5a09a948584569928367da679c3b6fb323089cca27e702110306c7,True,ok,False,True
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/cropped/t_shirt_top/brandy_melville_tops_page_4_0b21816dd8c4_crop.jpg,T-shirt/top,165,248,RGB,b562638298890ea998552a1652802862d6ef64e2bc6bce2f9a9492440e644f3a,True,ok,False,True
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/cropped/t_shirt_top/brandy_melville_tops_page_4_0b27ff4344e8_crop.jpg,T-shirt/top,533,800,RGB,e2c7134bc60fab7ec3e01ff3ab4d7192f0ec0d143585a17dd39b763cc685cbc9,True,ok,False,True
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/cropped/t_shirt_top/brandy_melville_tops_page_4_0e459158782e_crop.jpg,T-shirt/top,360,540,RGB,1d822b4dc9c1fb61ea644a2d4075a1d86a7af79e57226cd6785a1fb21603a3a9,True,ok,False,True
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/cropped/t_shirt_top/brandy_melville_tops_page_4_1012804e5921_crop.jpg,T-shirt/top,360,540,RGB,2165ee1c0142a7e60a3e45a3751f94748b2ad7b5354bd83efc7cba04aed8b179,True,ok,False,True
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/cropped/t_shirt_top/brandy_melville_tops_page_4_1035e9c74de8_crop.jpg,T-shirt/top,165,248,RGB,ddfe6190bfe7c9801d8fdc4fb7a16e2e650da0ed367a527a8db4899d7dacc618,True,ok,False,True
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/cropped/t_shirt_top/brandy_melville_tops_page_4_11ac445273be_crop.jpg,T-shirt/top,165,248,RGB,f89daf3a019baa77e9b36609d0ca46a9bbee8c05a9eb48340b4b4cae86bf496a,True,ok,False,True
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/cropped/t_shirt_top/brandy_melville_tops_page_4_137ee632ca9b_crop.jpg,T-shirt/top,360,540,RGB,5149fa779ed574dae0a133bfb2c51682eaf604118911edc734992c8e17059212,True,ok,False,True
