curated_at,index,filename,from_path,to_path,reason
2026-04-22T16:40:03.336425+00:00,0,anthropologie_sweaters_0ced63194e76.webp,data/retail_images/raw/pullover/anthropologie_sweaters_0ced63194e76.webp,data/retail_images/rejected/pullover/raw/anthropologie_sweaters_0ced63194e76.webp,"short-sleeve top/cardigan, closer to T-shirt/top"
2026-04-22T16:40:03.336425+00:00,1,anthropologie_sweaters_13d4c72f6c8f.webp,data/retail_images/raw/pullover/anthropologie_sweaters_13d4c72f6c8f.webp,data/retail_images/rejected/pullover/raw/anthropologie_sweaters_13d4c72f6c8f.webp,"short-sleeve T-shirt/top, not pullover"
2026-04-22T16:40:03.336425+00:00,2,anthropologie_sweaters_15e11e0b8ca7.jpg,data/retail_images/raw/pullover/anthropologie_sweaters_15e11e0b8ca7.jpg,data/retail_images/rejected/pullover/raw/anthropologie_sweaters_15e11e0b8ca7.jpg,"short-sleeve button top, not pullover"
2026-04-22T16:40:03.336425+00:00,5,anthropologie_sweaters_1bdf3142ff6d.jpg,data/retail_images/raw/pullover/anthropologie_sweaters_1bdf3142ff6d.jpg,data/retail_images/rejected/pullover/raw/anthropologie_sweaters_1bdf3142ff6d.jpg,"sleeveless knit/vest styling, not pullover"
2026-04-22T16:40:03.336425+00:00,7,anthropologie_sweaters_2676b4a2cb68.jpg,data/retail_images/raw/pullover/anthropologie_sweaters_2676b4a2cb68.jpg,data/retail_images/rejected/pullover/raw/anthropologie_sweaters_2676b4a2cb68.jpg,"short-sleeve green top, not pullover"
2026-04-22T16:40:03.336425+00:00,8,anthropologie_sweaters_29eb90a5c7bb.jpg,data/retail_images/raw/pullover/anthropologie_sweaters_29eb90a5c7bb.jpg,data/retail_images/rejected/pullover/raw/anthropologie_sweaters_29eb90a5c7bb.jpg,"open cardigan set with bra top, not pullover"
2026-04-22T16:40:03.336425+00:00,9,anthropologie_sweaters_2a4a4236c051.jpg,data/retail_images/raw/pullover/anthropologie_sweaters_2a4a4236c051.jpg,data/retail_images/rejected/pullover/raw/anthropologie_sweaters_2a4a4236c051.jpg,"short-sleeve top, not pullover"
2026-04-22T16:40:03.336425+00:00,10,anthropologie_sweaters_2a8b76093b7c.jpg,data/retail_images/raw/pullover/anthropologie_sweaters_2a8b76093b7c.jpg,data/retail_images/rejected/pullover/raw/anthropologie_sweaters_2a8b76093b7c.jpg,"cap-sleeve knit top, not pullover"
2026-04-22T16:40:03.336425+00:00,13,anthropologie_sweaters_356b4001fccb.jpg,data/retail_images/raw/pullover/anthropologie_sweaters_356b4001fccb.jpg,data/retail_images/rejected/pullover/raw/anthropologie_sweaters_356b4001fccb.jpg,"cap-sleeve knit top, not pullover"
2026-04-22T16:40:03.336425+00:00,14,anthropologie_sweaters_37f3604068b1.jpg,data/retail_images/raw/pullover/anthropologie_sweaters_37f3604068b1.jpg,data/retail_images/rejected/pullover/raw/anthropologie_sweaters_37f3604068b1.jpg,duplicate short-sleeve T-shirt/top
2026-04-22T16:40:03.336425+00:00,15,anthropologie_sweaters_3884f97bb9af.jpg,data/retail_images/raw/pullover/anthropologie_sweaters_3884f97bb9af.jpg,data/retail_images/rejected/pullover/raw/anthropologie_sweaters_3884f97bb9af.jpg,duplicate short-sleeve green top
2026-04-22T16:40:03.336425+00:00,17,anthropologie_sweaters_45eb8ce10de5.jpg,data/retail_images/raw/pullover/anthropologie_sweaters_45eb8ce10de5.jpg,data/retail_images/rejected/pullover/raw/anthropologie_sweaters_45eb8ce10de5.jpg,"short-sleeve cardigan/top, not pullover"
