path,source_path,fashion_mnist_class,width,height,mode,sha256,is_valid,validation_message,segmentation_status,mask_area_ratio,is_duplicate,usable
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/segmentation_overlays/t_shirt_top/brandy_melville_tops_035787b485f9_overlay.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_035787b485f9.jpg,T-shirt/top,360,540,RGB,26d7f787e1f6c7fd0ade14fac48629acbc5bb017dfcd8239954386ab4e71faf7,True,ok,segmented,0.2014146090534979,False,True
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/segmentation_overlays/t_shirt_top/brandy_melville_tops_122926b64062_overlay.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_122926b64062.jpg,T-shirt/top,1000,1500,RGB,0fd22b96c9d4d1b3ea9fd2356100d840f80d70c181cdaaa5a93f223ed24cd621,True,ok,segmented,0.084406,False,True
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/segmentation_overlays/t_shirt_top/brandy_melville_tops_1338c86909e7_overlay.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_1338c86909e7.jpg,T-shirt/top,1000,1500,RGB,f39549f8adfd99ec1aa4e32baf2fc8cd4347f73768f183942d993364982c42bd,True,ok,segmented,0.23701,False,True
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/segmentation_overlays/t_shirt_top/brandy_melville_tops_19014ea7fa64_overlay.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_19014ea7fa64.jpg,T-shirt/top,533,800,RGB,4cc5276201711d9b07d5f940486b4dad764c6cbfd88c4742a3084dbb7b7095a4,True,ok,segmented,0.100576923076923,False,True
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/segmentation_overlays/t_shirt_top/brandy_melville_tops_1f0a1b271868_overlay.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_1f0a1b271868.jpg,T-shirt/top,360,540,RGB,27b1d599c5b52be4e5f1327689737841e4574fbb4666f69247f70b5e304764e2,True,ok,segmented,0.1361316872427983,False,True
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/segmentation_overlays/t_shirt_top/brandy_melville_tops_1f91d1401075_overlay.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_1f91d1401075.jpg,T-shirt/top,360,540,RGB,b96995c1db260624d9a8764d6c459d41cd47a6238a120cd4373788c2fb515fc7,True,ok,segmented,0.1164917695473251,False,True
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/segmentation_overlays/t_shirt_top/brandy_melville_tops_22dfcf8728d8_overlay.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_22dfcf8728d8.jpg,T-shirt/top,360,540,RGB,201b1ccf7441ef556f92ee5b0d05c4b0d33e7a1530fee304ce222894a6b3cd9b,True,ok,segmented,0.2212705761316872,False,True
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/segmentation_overlays/t_shirt_top/brandy_melville_tops_26b2bc1908d9_overlay.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_26b2bc1908d9.jpg,T-shirt/top,360,540,RGB,2594989cbd70bae911ce08f4d6e1414967dc0d8dcd6b4251cbc80597a8446176,True,ok,segmented,0.1921604938271605,False,True
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/segmentation_overlays/t_shirt_top/brandy_melville_tops_27011dd95bb0_overlay.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_27011dd95bb0.jpg,T-shirt/top,533,800,RGB,e00108b32b24b15c8dfd6efd06cc2ab8d18a0434c949de062d8ccbc53e986b1d,True,ok,segmented,0.1923334896810506,False,True
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/segmentation_overlays/t_shirt_top/brandy_melville_tops_29cb6aeb56af_overlay.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_29cb6aeb56af.jpg,T-shirt/top,1000,1500,RGB,24966a8f77acd4ece61513f9833fcdb5e8387a974a881a906c25d2449c19c1e5,True,ok,segmented,0.0931986666666666,False,True
