path,fashion_mnist_class,width,height,mode,sha256,is_valid,validation_message,is_duplicate,usable
data/retail_images/segmented/t_shirt_top/brandy_melville_tops_035787b485f9_seg.jpg,T-shirt/top,206,354,RGB,36ec3faa0971023073f6159fa6e1dadeb45cd7755b7b92d5b565285fb09e238a,True,ok,False,True
data/retail_images/segmented/t_shirt_top/brandy_melville_tops_0e0e2054f60b_seg.jpg,T-shirt/top,165,248,RGB,959288463329b9bf7bed64ccb98844befae8a00d2663cae3d802119f5b666b03,True,ok,False,True
data/retail_images/segmented/t_shirt_top/brandy_melville_tops_0f48c54bce38_seg.jpg,T-shirt/top,165,248,RGB,eca18d307dabdaac0b1e2b09925c1fadfc1359e93258e8d6de90e7de7194b91c,True,ok,False,True
data/retail_images/segmented/t_shirt_top/brandy_melville_tops_122926b64062_seg.jpg,T-shirt/top,495,564,RGB,08edbfb9382f5b5ca1ee4c661b969ecf3b1570f6f6bd895940bfa556dfb552c7,True,ok,False,True
data/retail_images/segmented/t_shirt_top/brandy_melville_tops_1338c86909e7_seg.jpg,T-shirt/top,754,886,RGB,5df6c3a398832872525500272a8228776b0d9add1f4e26dfcef65bef764b73b0,True,ok,False,True
data/retail_images/segmented/t_shirt_top/brandy_melville_tops_14b135137e70_seg.jpg,T-shirt/top,165,248,RGB,17a38b8cdad2cd91b014ec7b434fefd58a719ed4051cfe685a35fc24d3bcaffe,True,ok,False,True
data/retail_images/segmented/t_shirt_top/brandy_melville_tops_19014ea7fa64_seg.jpg,T-shirt/top,223,395,RGB,ba258fc808788756f9e30b853b60c9a0ebc5354ea0e3cdf9eaa86bfe90b73056,True,ok,False,True
data/retail_images/segmented/t_shirt_top/brandy_melville_tops_1b7c9a8884bd_seg.jpg,T-shirt/top,165,248,RGB,351edaee287f3cabc69ed059d0102289598510b0da31b6984cedfb3e90b1bbb6,True,ok,False,True
data/retail_images/segmented/t_shirt_top/brandy_melville_tops_1f0a1b271868_seg.jpg,T-shirt/top,183,271,RGB,d1638de4a4e6d2388c239d3b0203539c77f9ce05e7666ada1b3c6de09bd3b147,True,ok,False,True
data/retail_images/segmented/t_shirt_top/brandy_melville_tops_1f91d1401075_seg.jpg,T-shirt/top,194,223,RGB,5a016f0c6fd8a95da6399836f1eb3f0073530965464b1f768eebdb66ef2e80b8,True,ok,False,True
data/retail_images/segmented/t_shirt_top/brandy_melville_tops_217b7aa77107_seg.jpg,T-shirt/top,165,248,RGB,8e6adac31f13cc6dd5af8eb90473d6674453bd9ae29784f33fda7aaee89048f3,True,ok,False,True
data/retail_images/segmented/t_shirt_top/brandy_melville_tops_22dfcf8728d8_seg.jpg,T-shirt/top,245,351,RGB,bf39c744e4ef901611510c6a32fa92f00e63fc857f2369890ce02e486a9dce4c,True,ok,False,True
