path,source_path,fashion_mnist_class,width,height,mode,sha256,is_valid,validation_message,segmentation_status,mask_area_ratio,is_duplicate,usable,input_policy,split
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/segmented/shirt/anthropologie_blouses_946013932d7f_seg.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/shirt/anthropologie_blouses_946013932d7f.jpg,Shirt,307,309,RGB,6ccb827247b5e62730f80b030c802902f7f86c23c1c79104df74908ea593aa7f,True,ok,segmented,0.2304316621650495,False,True,segmented_crop,train
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/segmented/bag/anthropologie_bags_c7f08ce0cc27_seg.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/bag/anthropologie_bags_c7f08ce0cc27.webp,Bag,2678,498,RGB,d45cc39790dab2271a55c8e0da15812c3da6215c3b17541c8895acbd5d809190,True,ok,segmented,0.0817684339021596,False,True,segmented_crop,train
data/retail_images/raw/sandal/urban_outfitters_sandals_46bd4ee2b997.jpg,data/retail_images/raw/sandal/urban_outfitters_sandals_46bd4ee2b997.jpg,Sandal,450,675,RGB,ecf1d9f17f89ad47639bdc6fc15213f4b12cee96b6f03ae412a705338a64d7b3,True,ok,not_used,0.0,False,True,raw_full_footwear,train
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/segmented/trouser/princess_polly_pants_4c3b6b329959_seg.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/trouser/princess_polly_pants_4c3b6b329959.jpg,Trouser,593,1328,RGB,6ccf796895a930b7653f5183176aa4260f74e711df760043f6b24c33e791b990,True,ok,segmented,0.1889516973597986,False,True,segmented_crop,train
data/retail_images/raw/sneaker/anthropologie_sneakers_b0afbd1f8214.jpg,data/retail_images/raw/sneaker/anthropologie_sneakers_b0afbd1f8214.jpg,Sneaker,349,523,RGB,7153ddd04088c8c9ffb6a2c6f235a93dd231fb88bf716a3fc8dd95523a68c6d3,True,ok,not_used,0.0,False,True,raw_full_footwear,train
data/retail_images/raw/ankle_boot/princess_polly_boots_5dee6f66c768.jpg,data/retail_images/raw/ankle_boot/princess_polly_boots_5dee6f66c768.jpg,Ankle boot,1344,1820,RGB,5ff71fd85e4a2a4e937510146bcf3593936f061712cf3729bdde00ffb59babb3,True,ok,not_used,0.0,False,True,raw_full_footwear,train
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/segmented/pullover/anthropologie_sweaters_404935bbbebf_seg.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/pullover/anthropologie_sweaters_404935bbbebf.jpg,Pullover,339,382,RGB,3f9bbf128d4505dfda4db07fe605dddb703661404be046dbab30bf11b17b612b,True,ok,segmented,0.3617656565877925,False,True,segmented_crop,train
data/retail_images/raw/ankle_boot/anthropologie_boot_shop_54f115b8e5d5.jpg,data/retail_images/raw/ankle_boot/anthropologie_boot_shop_54f115b8e5d5.jpg,Ankle boot,349,523,RGB,ac1b08700489c4255dc9d2f006540f70c5aa3121831b7c47b277bac20af382d8,True,ok,not_used,0.0,False,True,raw_full_footwear,train
data/retail_images/raw/ankle_boot/princess_polly_boots_6798028b8218.jpg,data/retail_images/raw/ankle_boot/princess_polly_boots_6798028b8218.jpg,Ankle boot,1345,1820,RGB,bc28561dde02206f478fe9eeff4d671172cf72e17cba68e9b9a92167a08d14f7,True,ok,not_used,0.0,False,True,raw_full_footwear,train
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/segmented/coat/reformation_jackets_and_coats_0efe4778e60f_seg.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/coat/reformation_jackets_and_coats_0efe4778e60f.jpg,Coat,262,513,RGB,b7025c7bd61bff47980af084c2b13781babfe1eba0dc6c1595eefc424550a9f5,True,ok,segmented,0.1401083333333333,False,True,segmented_crop,train
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/segmented/dress/princess_polly_dresses_87b9d9926d27_seg.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/dress/princess_polly_dresses_87b9d9926d27.jpg,Dress,639,860,RGB,274ae9e3f3d279885dc353d85a889d26ef54102bf75b91e2c1a773787c7b3d31,True,ok,segmented,0.1070095826792255,False,True,segmented_crop,train
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/segmented/t_shirt_top/brandy_melville_tops_page_4_6ee344ced5f2_seg.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/t_shirt_top/brandy_melville_tops_page_4_6ee344ced5f2.jpg,T-shirt/top,335,449,RGB,12d0125380744a1e590c23831ce67803f95922576eaa8fcdb895079bf26c87f4,True,ok,segmented,0.186374296435272,False,True,segmented_crop,train
data/retail_images/raw/sandal/urban_outfitters_sandals_5caff8d83cbd.jpg,data/retail_images/raw/sandal/urban_outfitters_sandals_5caff8d83cbd.jpg,Sandal,450,675,RGB,a7a58a2db3a801c6a8243958fff3272fabb4667a9486bc59497467e596db44ad,True,ok,not_used,0.0,False,True,raw_full_footwear,train
data/retail_images/raw/ankle_boot/princess_polly_boots_b957c3c7277d.jpg,data/retail_images/raw/ankle_boot/princess_polly_boots_b957c3c7277d.jpg,Ankle boot,1344,1820,RGB,5b0c611944969b29abbe5c8c9f6ebff64ea0d550835028946c98753d73edd155,True,ok,not_used,0.0,False,True,raw_full_footwear,train
data/retail_images/raw/sneaker/urban_outfitters_sneakers_a52773e0266e.jpg,data/retail_images/raw/sneaker/urban_outfitters_sneakers_a52773e0266e.jpg,Sneaker,698,1046,RGB,8ab945844a0ab2ea7ed9cbeba64fe4489b5a75e71f766bd99eac8f37481c2ec3,True,ok,not_used,0.0,False,True,raw_full_footwear,train
data/retail_images/raw/sandal/princess_polly_sandals_f55eb7aa707b.jpg,data/retail_images/raw/sandal/princess_polly_sandals_f55eb7aa707b.jpg,Sandal,1344,1820,RGB,9db89f1c7160c0a59093af7a24b5504770a0c77c27cdee5c3e2333c47bebe2a2,True,ok,not_used,0.0,False,True,raw_full_footwear,train
/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/segmented/coat/princess_polly_jackets_5bed9999e48a_seg.jpg,/Users/ashley/Desktop/python/CS156-Machine-Learning/final/data/retail_images/raw/coat/princess_polly_jackets_5bed9999e48a.jpg,Coat,1136,1321,RGB,41b26e9a87d51220ac1a68a2e582b0bbd67177b5fc3a695eb1682c0cd87d2f8d,True,ok,segmented,0.2684541852199845,False,True,segmented_crop,train
