path,fashion_mnist_class,width,height,mode,sha256,is_valid,validation_message,is_duplicate,usable,split,simplified_class,source_path
data/retail_images/simplified6_raw_full/bag/bag_anthropologie_bags_15eb6093e4a5.jpg,Bag,349,523,RGB,34a6f7ae89f413dcb8da0df114099a66eac35271a657b0bf6d354899d876199e,True,ok,False,True,test,bag,data/retail_images/raw/bag/anthropologie_bags_15eb6093e4a5.jpg
data/retail_images/simplified6_raw_full/bag/bag_anthropologie_bags_1d7d841afe36.jpg,Bag,349,523,RGB,0e38f2487ef4fb0fdc58ef863108fe8d676e9b2cdec8963fe50cdf36740f59fc,True,ok,False,True,test,bag,data/retail_images/raw/bag/anthropologie_bags_1d7d841afe36.jpg
data/retail_images/simplified6_raw_full/bag/bag_anthropologie_bags_869aee6aa169.jpg,Bag,349,523,RGB,4cd7f3dc888d61268191f7241c7c33c26fc9b927497e16ad45745474d680e66d,True,ok,False,True,test,bag,data/retail_images/raw/bag/anthropologie_bags_869aee6aa169.jpg
data/retail_images/simplified6_raw_full/bag/bag_anthropologie_bags_979c364c93f7.jpg,Bag,267,400,RGB,e3f6439d9123c3504fa8e6e75d347367baa926494f4b62706212cb5c2e3e65f5,True,ok,False,True,test,bag,data/retail_images/raw/bag/anthropologie_bags_979c364c93f7.jpg
data/retail_images/simplified6_raw_full/bag/bag_anthropologie_bags_a66872387df8.jpg,Bag,349,523,RGB,8438021f5eb4689eea9d2308a4a18aa2b3825601809f915f1c59074342418bf2,True,ok,False,True,test,bag,data/retail_images/raw/bag/anthropologie_bags_a66872387df8.jpg
data/retail_images/simplified6_raw_full/bag/bag_anthropologie_bags_b2b0bc782ed0.webp,Bag,698,1046,RGB,62c4e5619d5f6fb77f7e88a6b4acbbdd062ace1d36b8a1bcb8f83baf0332de67,True,ok,False,True,test,bag,data/retail_images/raw/bag/anthropologie_bags_b2b0bc782ed0.webp
data/retail_images/simplified6_raw_full/bag/bag_anthropologie_bags_bc7a978e3692.jpg,Bag,349,523,RGB,3d90ff490572b6fb6a7bd090bc579a411b66c78c60f1636d00ded8403836862b,True,ok,False,True,test,bag,data/retail_images/raw/bag/anthropologie_bags_bc7a978e3692.jpg
data/retail_images/simplified6_raw_full/bag/bag_anthropologie_bags_c303fd728f66.jpg,Bag,349,523,RGB,08a8ce749fc5b703b18e7d66d77f742d75a4ae434926b45f00a0ad82197170dc,True,ok,False,True,test,bag,data/retail_images/raw/bag/anthropologie_bags_c303fd728f66.jpg
data/retail_images/simplified6_raw_full/bag/bag_anthropologie_bags_e337e1fd5e58.jpg,Bag,349,523,RGB,d84e16ae2eed2b2a4faaae8fbc8671bf366e1cbcb3ea432eccd8f54760493c84,True,ok,False,True,test,bag,data/retail_images/raw/bag/anthropologie_bags_e337e1fd5e58.jpg
data/retail_images/simplified6_raw_full/bag/bag_anthropologie_bags_ef906f307221.jpg,Bag,349,523,RGB,e459c10e39ca5ef9eaca2d13e80f5c632d86b2f8a3f730f58a909324ca965771,True,ok,False,True,test,bag,data/retail_images/raw/bag/anthropologie_bags_ef906f307221.jpg
data/retail_images/simplified6_raw_full/bag/bag_anthropologie_bags_fa5b2efb5266.jpg,Bag,349,523,RGB,a637783cb979e04253444f9f2c7d89dcb482b3d0412ac6a169641874fdbd477c,True,ok,False,True,test,bag,data/retail_images/raw/bag/anthropologie_bags_fa5b2efb5266.jpg
data/retail_images/simplified6_raw_full/bag/bag_princess_polly_bags_1024a8ffea22.jpg,Bag,1344,1820,RGB,b966676b8fcc29ba824d5afcf454cf1f5a3f8a8052266449c079760eb240116a,True,ok,False,True,test,bag,data/retail_images/raw/bag/princess_polly_bags_1024a8ffea22.jpg
data/retail_images/simplified6_raw_full/bag/bag_princess_polly_bags_40e4560674cb.jpg,Bag,1345,1821,RGB,a59adbf18f03d7b21c37eadc97be09ed2b339f34aeb18d311503caa02922078f,True,ok,False,True,test,bag,data/retail_images/raw/bag/princess_polly_bags_40e4560674cb.jpg
data/retail_images/simplified6_raw_full/bag/bag_princess_polly_bags_5540d8f876bd.jpg,Bag,1344,1820,RGB,0ea4493a7fa54d8a6c5b27114aab99837d2bda750eb348144124698b52036e79,True,ok,False,True,test,bag,data/retail_images/raw/bag/princess_polly_bags_5540d8f876bd.jpg
data/retail_images/simplified6_raw_full/bag/bag_princess_polly_bags_6862d9eac72d.jpg,Bag,1345,1820,RGB,2aeb2faaf9a607595a5dd43b0ac82db3654da7dfea2fe6c894af5c74b1f1289c,True,ok,False,True,test,bag,data/retail_images/raw/bag/princess_polly_bags_6862d9eac72d.jpg
data/retail_images/simplified6_raw_full/bag/bag_princess_polly_bags_7204be631b69.jpg,Bag,1344,1820,RGB,e5992a6e8f434c2c5761a04ab922145b1761c13365e32a58a2ba13c3f22f7967,True,ok,False,True,test,bag,data/retail_images/raw/bag/princess_polly_bags_7204be631b69.jpg
data/retail_images/simplified6_raw_full/bag/bag_princess_polly_bags_981818359df4.jpg,Bag,1345,1820,RGB,ae254058e2ebcd0cb07ffc8210e9e2c0a60e4ea08bc05d3d50f1717604ff3d81,True,ok,False,True,test,bag,data/retail_images/raw/bag/princess_polly_bags_981818359df4.jpg
data/retail_images/simplified6_raw_full/bag/bag_princess_polly_bags_c46d030e418d.jpg,Bag,1344,1819,RGB,9e5c6b73901e49c19893b60c3a7e17d652f744cc12f95b81d59e20c8030863cc,True,ok,False,True,test,bag,data/retail_images/raw/bag/princess_polly_bags_c46d030e418d.jpg
data/retail_images/simplified6_raw_full/dress/dress_anthropologie_dresses_43f5c2b249d0.jpg,Dress,349,523,RGB,be64da7687e80de002dc79c061dc49036dc2646215390fce6ffc9a056b5b8fde,True,ok,False,True,test,dress,data/retail_images/raw/dress/anthropologie_dresses_43f5c2b249d0.jpg
data/retail_images/simplified6_raw_full/dress/dress_anthropologie_dresses_54545b288f7b.jpg,Dress,349,523,RGB,a4c718c5386f69e3eae51480d5ce6f7f1433eb3b118abb8fe2b2ba7f6d6b466e,True,ok,False,True,test,dress,data/retail_images/raw/dress/anthropologie_dresses_54545b288f7b.jpg
data/retail_images/simplified6_raw_full/dress/dress_anthropologie_dresses_a51ba1949f79.jpg,Dress,349,523,RGB,27cc8e1251452760dc6b68721c93d8505ab5187c403e7cf470667ab0a2ab81ce,True,ok,False,True,test,dress,data/retail_images/raw/dress/anthropologie_dresses_a51ba1949f79.jpg
data/retail_images/simplified6_raw_full/dress/dress_anthropologie_dresses_f34b47920890.jpg,Dress,349,523,RGB,987d64c704fb5e8153ffd7384fac9c0393c4e25e3d0be063c77aa0b230c36a08,True,ok,False,True,test,dress,data/retail_images/raw/dress/anthropologie_dresses_f34b47920890.jpg
data/retail_images/simplified6_raw_full/dress/dress_princess_polly_dresses_23fad99c1afb.jpg,Dress,1344,1820,RGB,fd6ad47d1c59211df432edd871b66e7f264df77f159fac7dc27419b1318dc5c9,True,ok,False,True,test,dress,data/retail_images/raw/dress/princess_polly_dresses_23fad99c1afb.jpg
data/retail_images/simplified6_raw_full/dress/dress_princess_polly_dresses_49073f7948af.jpg,Dress,1345,1820,RGB,9722bc9507b97fbf9394ef6f62628db0130232e532dca6be71c357b0b75287db,True,ok,False,True,test,dress,data/retail_images/raw/dress/princess_polly_dresses_49073f7948af.jpg
data/retail_images/simplified6_raw_full/dress/dress_princess_polly_dresses_65f4a44bba20.jpg,Dress,1344,1820,RGB,c244123b3b41f39049693f0d42198748a912c6da8010f1dc70604636bdc85247,True,ok,False,True,test,dress,data/retail_images/raw/dress/princess_polly_dresses_65f4a44bba20.jpg
data/retail_images/simplified6_raw_full/dress/dress_princess_polly_dresses_876c1dc77bb9.jpg,Dress,1344,1820,RGB,940ee839fc4d350d0c0807e4dde80184a12a0b5319c818fa7745f549bd062117,True,ok,False,True,test,dress,data/retail_images/raw/dress/princess_polly_dresses_876c1dc77bb9.jpg
data/retail_images/simplified6_raw_full/dress/dress_princess_polly_dresses_87b9d9926d27.jpg,Dress,1344,1820,RGB,367bde0a9ba24aa7459ab92713937a21e1a71693f0b7b11958f03532b026f2d6,True,ok,False,True,test,dress,data/retail_images/raw/dress/princess_polly_dresses_87b9d9926d27.jpg
data/retail_images/simplified6_raw_full/dress/dress_princess_polly_dresses_8a4ea6be29f3.jpg,Dress,1344,1820,RGB,6d10d73d91dd14c3eb31e27fff62e5b2582db042f69a68f7dfc5f28eac5bc262,True,ok,False,True,test,dress,data/retail_images/raw/dress/princess_polly_dresses_8a4ea6be29f3.jpg
data/retail_images/simplified6_raw_full/dress/dress_princess_polly_dresses_c71d6fb7031e.jpg,Dress,1344,1820,RGB,0b029d1aeb3b9e085deed28d13fa21a44fb166dceb96b5f9b269f74ded0327c5,True,ok,False,True,test,dress,data/retail_images/raw/dress/princess_polly_dresses_c71d6fb7031e.jpg
data/retail_images/simplified6_raw_full/dress/dress_reformation_dresses_132b71e165fc.jpg,Dress,600,800,RGB,9b8a7dbef3479c8ec01e97e9223dd01620b6a13681c8646c6963360e17d864d4,True,ok,False,True,test,dress,data/retail_images/raw/dress/reformation_dresses_132b71e165fc.jpg
data/retail_images/simplified6_raw_full/dress/dress_reformation_dresses_15e660e7ad2c.jpg,Dress,600,800,RGB,df44de56c27c0ad79fd9d6d11a7b87fff7042ab441337cae4503c95b0cb412d1,True,ok,False,True,test,dress,data/retail_images/raw/dress/reformation_dresses_15e660e7ad2c.jpg
data/retail_images/simplified6_raw_full/dress/dress_reformation_dresses_68d7b377682d.jpg,Dress,600,800,RGB,c2789244da314db051c12dafbd31ca9f8b8ced113173a7abd09774da25f4a718,True,ok,False,True,test,dress,data/retail_images/raw/dress/reformation_dresses_68d7b377682d.jpg
data/retail_images/simplified6_raw_full/dress/dress_reformation_dresses_726b0f232199.jpg,Dress,600,800,RGB,9d32de8546f48e93671b3bd9f2cb269efba96d6f1329a6944a6319544b6ed26e,True,ok,False,True,test,dress,data/retail_images/raw/dress/reformation_dresses_726b0f232199.jpg
data/retail_images/simplified6_raw_full/dress/dress_reformation_dresses_9cb23b38fede.jpg,Dress,240,320,RGB,ff700bee91308a54973888722c88e4d0e10bcab27ea8659a3feb1bf7620ff091,True,ok,False,True,test,dress,data/retail_images/raw/dress/reformation_dresses_9cb23b38fede.jpg
data/retail_images/simplified6_raw_full/dress/dress_reformation_dresses_ab795ec1bf46.jpg,Dress,600,800,RGB,8d9dc9de9b5e1743b3cf39243bc7365b1ba16b3d328f592379fd4c1b1b2a873c,True,ok,False,True,test,dress,data/retail_images/raw/dress/reformation_dresses_ab795ec1bf46.jpg
data/retail_images/simplified6_raw_full/dress/dress_reformation_dresses_ed47b8ca26cd.jpg,Dress,600,800,RGB,009e773241b20b491c08b4ab1c008ab647a6bf5aa3ddee617b4a5fbc71797cc4,True,ok,False,True,test,dress,data/retail_images/raw/dress/reformation_dresses_ed47b8ca26cd.jpg
