stage,epoch,train_loss,val_loss,val_accuracy,val_macro_f1,epoch_seconds
frozen_head,1,1.7264442651990861,1.409884876675076,0.49074074074074076,0.4328807497841904,13.856397151947021
frozen_head,2,1.2501861878803797,1.0987358843838726,0.7037037037037037,0.6999419279907085,10.2260000705719
frozen_head,3,0.9865152608780634,0.9484080782643071,0.75,0.7452225544441533,10.190922975540161
frozen_head,4,0.8561308450169034,0.8597937071764911,0.8055555555555556,0.8031950584296803,10.545638084411621
frozen_head,5,0.7264004501085433,0.7555399801996019,0.8333333333333334,0.8334766655200091,10.637341260910034
finetune_backbone,1,0.5311411884095933,0.514276405175527,0.8518518518518519,0.8504593535053938,15.874243974685669
finetune_backbone,2,0.18801954128439463,0.5173169440693326,0.8425925925925926,0.8400246105025015,14.541754007339478
finetune_backbone,3,0.09334723592277556,0.5061239843015317,0.8425925925925926,0.8400246105025015,14.462554693222046
finetune_backbone,4,0.057598824627579204,0.5216202978734616,0.8611111111111112,0.8584424685430877,14.39927077293396
finetune_backbone,5,0.032526190170929545,0.518896034470311,0.8425925925925926,0.8402616896869489,15.342567920684814
