stage,epoch,train_loss,val_loss,val_accuracy,val_macro_f1,epoch_seconds
frozen_head,1,1.265959536272382,0.8672229051589966,0.7407407407407407,0.7456361444513432,32.245737075805664
frozen_head,2,0.6681477900535341,0.6717943394625628,0.75,0.7595818011140593,22.846740007400513
frozen_head,3,0.45898432864083183,0.7425013383229574,0.7685185185185185,0.769760880491399,25.237864017486572
frozen_head,4,0.43961745216732934,0.5816144038129736,0.8148148148148148,0.8127844950213371,24.207108974456787
frozen_head,5,0.39360566224370686,0.6456762419806586,0.7685185185185185,0.7670294274009444,22.774007081985474
finetune_backbone,1,0.32821118074750144,0.618546293841468,0.8055555555555556,0.8107012141266087,31.822717905044556
finetune_backbone,2,0.24924796275676242,0.5631561698736968,0.7777777777777778,0.7771518929413667,22.565369844436646
finetune_backbone,3,0.21245248568436456,0.5351104272736443,0.8240740740740741,0.824152155034508,36.72620391845703
finetune_backbone,4,0.15572171622798556,0.5247662486853423,0.8518518518518519,0.8497111856438483,25.81054425239563
finetune_backbone,5,0.13126941356394026,0.5214495106979653,0.8425925925925926,0.8429462136779211,25.41341495513916
